Unnamed: 0,id,title,url,minutes,ingredients_ids,ingredients_names,calories
455,648348,Jalapeno Cornbread Stuffing,https://spoonacular.com/jalapeno-cornbread-stuffing-648348,45,"[1145, 10011282, 11143, 11819, 12142, 18023, 11165, 2047, 1002030, 2031, 6194]","['unsalted butter', 'red onion', 'celery', 'chile peppers', 'pecans', 'cornbread', 'fresh cilantro', 'salt', 'black pepper', 'cayenne pepper', 'chicken broth']",262
456,715432,Buffalo Ranch Chicken Dip,https://spoonacular.com/buffalo-ranch-chicken-dip-715432,45,"[5062, 1017, 11291, 6168, 2034, 4639, 1031009]","['chicken breasts', 'cream cheese', 'green onions', 'hot sauce', 'poultry seasoning', 'ranch dressing', 'sharp cheddar cheese']",753
457,638385,Chicken thighs wrapped in prosciutto,https://spoonacular.com/chicken-thighs-wrapped-in-prosciutto-638385,45,"[2044, 2049, 9152, 10010123, 5096]","['fresh basil', 'fresh thyme', 'juice of lemon', 'prosciutto', 'skinless chicken thighs']",340
458,664474,Vegan Pumpkin Pie Butter Cups,https://spoonacular.com/vegan-pumpkin-pie-butter-cups-664474,45,"[28111, 19165, 12155, 10012108, 9421, 19081, 19165, 4047, 19911, 11424, 16098, 19911, 12006, 1002035]","['chocolate cookie pie crust', 'cocoa powder', 'walnuts', 'unsweetened shredded coconut', 'medjool dates', 'chocolate', 'cocoa powder', 'coconut oil', 'maple syrup', 'pumpkin puree', 'peanut butter', 'maple syrup', 'chia seeds', 'pumpkin pie spice']",182
459,652284,Molten Chocolate Liquor Cakes,https://spoonacular.com/molten-chocolate-liquor-cakes-652284,45,"[19904, 1125, 1123, 14037, 19336, 2047, 1145]","['dark chocolate', 'egg yolks', 'eggs', 'liquor', 'powdered sugar', 'salt', 'unsalted butter']",398
460,662610,Sweet Potatoes Muffins,https://spoonacular.com/sweet-potatoes-muffins-662610,45,"[18371, 10019146, 2010, 1123, 20081, 4582, 9206, 2047, 19335, 19335, 11601]","['baking powder', 'chocolate chips', 'cinnamon', 'egg', 'flour', 'oil', 'orange juice', 'salt', 'sugar', 'sugar', 'yams']",238
461,636422,Buffalo Wing Hummus,https://spoonacular.com/buffalo-wing-hummus-636422,45,"[6150, 16058, 1052047, 11215, 6168, 9152, 2028, 2053]","['barbecue sauce', 'canned chickpeas', 'celery salt', 'garlic', 'hot sauce', 'lemon juice', 'paprika', 'white distilled vinegar']",37
462,631888,A Christmas With Peking Duck,https://spoonacular.com/a-christmas-with-peking-duck-631888,45,"[19350, 5139, 1002002, 6175, 19296, 1022053, 2047, 11291, 14412, 2032]","['corn syrup', 'duck', 'five spice powder', 'hoisin sauce', 'honey', 'rice wine vinegar', 'salt', 'scallions', 'water', 'white pepper']",1230
463,756814,Powerhouse Almond Matcha Superfood Smoothie,https://spoonacular.com/powerhouse-almond-matcha-superfood-smoothie-756814,10,"[12195, 93607, 9040, 12006, 11233, 9176, 98932, 9266, 2050]","['almond butter', 'almond milk', 'banana', 'chia seeds', 'kale', 'mango', 'matcha tea', 'pineapple', 'vanilla extract']",294
464,640619,Creamy Chicken Orzo Soup,https://spoonacular.com/creamy-chicken-orzo-soup-640619,45,"[4053, 11143, 11960, 11282, 1082047, 1002030, 5006, 6194, 2034, 10920420, 6016]","['olive oil', 'celery', 'baby carrots', 'onion', 'kosher salt', 'ground pepper', 'chicken', 'chicken broth', 'poultry seasoning', 'orzo', 'condensed cream of chicken soup']",383
465,637824,Chewy Gingersnaps,https://spoonacular.com/chewy-gingersnaps-637824,45,"[18372, 19334, 1001, 2010, 1123, 20081, 11216, 1082047, 19304, 4582, 10211821, 19335]","['baking soda', 'brown sugar', 'butter', 'cinnamon', 'eggs', 'flour', 'ginger', 'kosher salt', 'molasses', 'oil', 'bell pepper', 'white sugar']",87
466,637569,Cheese Pork Chops,https://spoonacular.com/cheese-pork-chops-637569,30,"[1002046, 1023, 1053, 4053, 10010062, 1102047, 1145]","['dijon mustard', 'gruyere cheese', 'heavy cream', 'olive oil', 'pork chops', 'salt and pepper', 'unsalted butter']",417
467,716377,Vegetable Rice,https://spoonacular.com/vegetable-rice-716377,45,"[1001, 2009, 11215, 10014412, 9152, 20444, 10011298]","['butter', 'chili powder', 'garlic', 'ice cubes', 'lemon juice', 'rice', 'root vegetables']",706
468,637458,Charlotte Potato Salad,https://spoonacular.com/charlotte-potato-salad-637458,30,"[10123, 1002046, 2029, 9152, 4053, 11352, 1102047, 11291]","['bacon', 'dijon mustard', 'dried parsley', 'juice of lemon', 'olive oil', 'potatoes', 'salt and pepper', 'spring onions']",242
469,644488,German Rhubarb Cake with Meringue,https://spoonacular.com/german-rhubarb-cake-with-meringue-644488,45,"[9307, 19335, 19335, 2050, 2047, 1123, 20081, 12061, 18371, 1124, 19335, 12061]","['rhubarb', 'sugar', 'sugar', 'vanilla extract', 'salt', 'eggs', 'flour', 'almonds', 'baking powder', 'egg whites', 'sugar', 'almonds']",212
470,659929,Shrimp and Cucumber Lettuce Wraps With Fresh Dill,https://spoonacular.com/shrimp-and-cucumber-lettuce-wraps-with-fresh-dill-659929,45,"[15270, 6615, 11215, 1002068, 10111205, 2045, 9152, 1102047, 11250]","['shrimp', 'vegetable broth', 'garlic', 'white wine vinegar', 'english cucumber', 'fresh dill', 'lemon juice', 'salt and pepper', 'butter lettuce']",38
471,654028,Oreo Cookies & Cream No-Bake Cheesecake,https://spoonacular.com/oreo-cookies-cream-no-bake-cheesecake-654028,45,"[1017, 1053, 9152, 10018166, 2047, 19335, 93812]","['cream cheese', 'heavy cream', 'lemon juice', 'oreo cookies', 'salt', 'sugar', 'vanilla powder']",214
472,636589,Butternut Squash Frittata,https://spoonacular.com/butternut-squash-frittata-636589,45,"[11485, 1159, 1226, 1085, 10211821]","['butternut squash', 'goat cheese', 'liquid egg substitute', 'non-fat milk', 'bell pepper']",446
473,633293,Bacon Brownie Cupcakes,https://spoonacular.com/bacon-brownie-cupcakes-633293,45,"[1253, 19078, 19081, 1001, 19335, 2047, 1123, 20081, 19165, 10123]","['american cheese', 'unsweetened chocolate', 'chocolate', 'butter', 'sugar', 'salt', 'eggs', 'AP flour', 'cocoa', 'bacon']",511
474,663392,Three-Cup Chicken,https://spoonacular.com/three-cup-chicken-663392,45,"[2044, 11215, 11216, 43479, 4058, 16124, 11291, 19335, 5006]","['basil', 'garlic', 'ginger', 'rice wine', 'sesame oil', 'soy sauce', 'spring onions', 'sugar', 'whole chicken']",397
475,661925,Strawberry-Mango Quinoa Salad,https://spoonacular.com/strawberry-mango-quinoa-salad-661925,45,"[11206, 2064, 19296, 9160, 1009159, 9176, 4053, 10211821, 20035, 2047, 1056, 9316, 14412]","['cucumber', 'fresh mint', 'honey', 'lime juice', 'lime zest', 'mango', 'olive oil', 'bell pepper', 'quinoa', 'salt', 'sour cream', 'strawberries', 'water']",334
476,716370,Semi Ripe Plantain Pottage,https://spoonacular.com/semi-ripe-plantain-pottage-716370,45,"[2004, 15243, 10014412, 11282, 4055, 9277, 10011298, 10011819, 15270, 11529]","['bay leaves', 'crayfish', 'ice cubes', 'onions', 'palm oil', 'plantain', 'root vegetables', 'scotch bonnet chili peppers', 'shrimp', 'tomato']",580
